Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
CPT_S,260,Introduction to Computer Architecture,01,01298,3,"TU,TH14.55-16.10",WEB ARR,Robert Lewis
CPT_S,260,Introduction to Computer Architecture,"","","","","",""
CPT_S,302,Professional Skills in Computing and Engineering,"","","","","",""
CPT_S,302,Professional Skills in Computing and Engineering,01,01299,3,"M,W17.45-19",GUC TRI,Evelyn Hirt
CPT_S,315,Introduction to Data Mining,"","","","","",""
CPT_S,315,Introduction to Data Mining,02,15160,3,"TU,TH13.30-14.45",WEB ARR,John Miller
CPT_S,315,Introduction to Data Mining,"","","","","",""
CPT_S,317,Automata and Formal Languages,"","","","","",""
CPT_S,317,Automata and Formal Languages,01,01301,3,"M,W,F14.10-15",WEB ARR,John Miller
CPT_S,317,Automata and Formal Languages,"","","","","",""
CPT_S,411,Introduction to Parallel Computing,"","","","","",""
CPT_S,411,Introduction to Parallel Computing,01,01668,3,"TU,TH12.05-13.20",AMS TRI,Anantharaman Kalyanaraman
CPT_S,415,Big Data,"","","","","",""
CPT_S,415,Big Data,02,15577,3,"M,W,F16.10-17",WEB ARR,Jia Yu
CPT_S,415,Big Data,"","","","","",""
CPT_S,421,Software Design Project I,"","","","","",""
CPT_S,421,Software Design Project I,01,02255,3,TU16.20-17.10,TBSL 104,Neil Corrigan
CPT_S,421,Software Design Project I,01 Lab,02256,0,ARRGT,ARR ARR,Neil Corrigan
CPT_S,421,Software Design Project I,"","","","","",""
CPT_S,422,[M] Software Engineering Principles II,"","","","","",""
CPT_S,422,[M] Software Engineering Principles II,01,01302,3,"M,W,F15.10-16",TBSL 103,Luis Delatorre
CPT_S,427,Computer Security,"","","","","",""
CPT_S,427,Computer Security,01,01518,3,"M,W,F12.10-13",WEB ARR,Ananth Jillepalli
CPT_S,427,Computer Security,"","","","","",""
CPT_S,440,Artificial Intelligence,"","","","","",""
CPT_S,440,Artificial Intelligence,01,01303,3,"TU,TH9.10-10.25",WEB ARR,Lawrence Holder
CPT_S,440,Artificial Intelligence,"","","","","",""
CPT_S,453,Graph Theory,"","","","","",""
CPT_S,453,Graph Theory,01,01717,3,"M,W,F14.10-15",WEB ARR,Matthew Hudelson
CPT_S,453,Graph Theory,"","","","","",""
CPT_S,455,Introduction to Computer Networks,"","","","","",""
CPT_S,455,Introduction to Computer Networks,01,01625,3,"M,W16.15-17.30",TFLO 244,Russell Swannack
CPT_S,460,Operating Systems and Computer Architecture,"","","","","",""
CPT_S,460,Operating Systems and Computer Architecture,01,01305,3,"M,W17.45-19",TBSL 103,Luis Delatorre
CPT_S,481,Python Software Construction,"","","","","",""
CPT_S,481,Python Software Construction,01,02069,3,"TU,TH12.05-13.20",WEB ARR,Robert Lewis
CPT_S,481,Python Software Construction,"","","","","",""
CPT_S,483,Topics in Computer Science,"","","","","",""
CPT_S,483,Topics in Computer Science,01,15159,V,"M,W16.15-17.30",AMS TRI,William Hutton
CPT_S,483,Topics in Computer Science,"","","","","",""
CPT_S,489,Web Development,"","","","","",""
CPT_S,489,Web Development,01,15578,3,"M,W,F15.10-16",WEB ARR,Christopher Hundhausen
CPT_S,489,Web Development,"","","","","",""
CPT_S,490,Work Study Internship,"","","","","",""
CPT_S,490,Work Study Internship,01,01308,V,ARRGT,ARR ARR,Robert Lewis
CPT_S,499,Special Problems,"","","","","",""
CPT_S,499,Special Problems,01,01309,V,ARRGT,ARR ARR,(multiple)
CPT_S,527,Computer Security,"","","","","",""
CPT_S,527,Computer Security,01,01519,3,"M,W,F12.10-13",WEB ARR,Ananth Jillepalli
CPT_S,527,Computer Security,"","","","","",""
CPT_S,540,Artificial Intelligence,"","","","","",""
CPT_S,540,Artificial Intelligence,01,01304,3,"TU,TH9.10-10.25",WEB ARR,Lawrence Holder
CPT_S,540,Artificial Intelligence,"","","","","",""
CPT_S,553,Graph Theory,"","","","","",""
CPT_S,553,Graph Theory,01,01718,3,"M,W,F14.10-15",WEB ARR,Matthew Hudelson
CPT_S,553,Graph Theory,"","","","","",""
CPT_S,582,Software Testing,"","","","","",""
